DATE,sp500,ret_1m,ret_1m_next,firstdiff_1m,vol_3m,vol_6m,ret_1m_z,ret_1m_next_z,vol_3m_z,vol_6m_z,ret_high_negative,ret_negative,ret_flat,ret_positive,ret_high_positive,ret_regime,category_sum
2019-01-31,2704.1,0.07868440473103688,0.02972893014311606,197.25,0.08638758143057547,0.06408360353313106,1.5223816412133921,0.4255248321545669,1.7138101264811956,1.0692653789911144,0,0,0,0,1,2.0,1
2019-02-28,2784.49,0.02972893014311606,0.01792428775107835,80.38999999999987,0.08776616111947637,0.06402512563217272,0.4255248321545669,0.16103955251628532,1.7639631741345987,1.0664995829023818,0,0,0,1,0,1.0,1
2019-03-31,2834.4,0.01792428775107835,0.03931343494213935,49.91000000000031,0.03221743805651097,0.06466381701429165,0.16103955251628532,0.640267502688489,-0.25691220745740145,1.0967074066720883,0,0,0,1,0,1.0,1
2019-04-30,2945.83,0.03931343494213935,-0.06577772648116154,111.42999999999984,0.010713760091639863,0.057063706304912865,0.640267502688489,-1.7143201496491558,-1.0392209810296038,0.737249284382249,0,0,0,1,0,1.0,1
2019-05-31,2752.06,-0.06577772648116154,0.06893018320821498,-193.76999999999998,0.055539287916142835,0.0658493201013381,-1.7143201496491558,1.303836434892071,0.5915420798012204,1.152777473271599,1,0,0,0,0,-2.0,1
2019-06-30,2941.76,0.06893018320821498,0.013128195366039375,189.70000000000027,0.07079021227076007,0.05151862992249654,1.303836434892071,0.05358218163619224,1.1463742321052905,0.47498695418784753,0,0,0,0,1,2.0,1
2019-07-31,2980.38,0.013128195366039375,-0.01809165274226776,38.61999999999989,0.0676833648722443,0.04522034244667629,0.05358218163619224,-0.6459045103757404,1.0333464057967212,0.17710042644212076,0,0,0,1,0,1.0,1
2019-08-31,2926.46,-0.01809165274226776,0.017181167690656807,-53.92000000000007,0.04408578889550998,0.046760117357080355,-0.6459045103757404,0.14438980486124595,0.1748611386813221,0.24992628638121778,0,1,0,0,0,-1.0,1
2019-09-30,2976.74,0.017181167690656807,0.020431747482144935,50.279999999999745,0.019301456602474492,0.046733484440697824,0.14438980486124595,0.21721966929815398,-0.7267985974645053,0.24866664445229786,0,0,0,1,0,1.0,1
2019-10-31,3037.56,0.020431747482144935,0.03404706409091518,60.820000000000164,0.02136504347107078,0.044892663510036276,0.21721966929815398,0.5222734524659748,-0.6517248303178562,0.16160238177111386,0,0,0,1,0,1.0,1
2019-11-30,3140.98,0.03404706409091518,0.028589803182446305,103.42000000000007,0.008948012597984622,0.028485476236310744,0.5222734524659748,0.4000024738542881,-1.103459282889232,-0.6143990417598849,0,0,0,1,0,1.0,1
2019-12-31,3230.78,0.028589803182446305,-0.001628089811129274,89.80000000000018,0.006852158003011317,0.018306492669199797,0.4000024738542881,-0.2770352214067114,-1.1797069573781138,-1.0958286497967265,0,0,0,1,0,1.0,1
2020-01-31,3225.52,-0.001628089811129274,-0.08411046900964814,-5.260000000000218,0.019216396469026387,0.019689281020233648,-0.2770352214067114,-2.1250687664352004,-0.7298931047755979,-1.030427694048344,0,1,0,0,0,0.0,1
2020-02-29,2954.22,-0.08411046900964814,-0.12511932083595656,-271.3000000000002,0.05833497419700528,0.04411655921733305,-2.1250687664352004,-3.043879966530671,0.6932497927444206,0.1248954175670372,1,0,0,0,0,-2.0,1
2020-03-31,2584.59,-0.12511932083595656,0.12684410293315374,-369.62999999999965,0.06289561848330885,0.06693940415077476,-3.043879966530671,2.601408927535394,0.8591670857835794,1.2043345598104918,1,0,0,0,0,-2.0,1
2020-04-30,2912.43,0.12684410293315374,0.04528177501261843,327.8399999999997,0.13519684677605906,0.09024622977732094,2.601408927535394,0.7739893080675111,3.4895024789133506,2.306664262181338,0,0,0,0,1,2.0,1
2020-05-31,3044.31,0.04528177501261843,0.018388403283502663,131.8800000000001,0.1285654915595319,0.09129311532782312,0.7739893080675111,0.17143815014432626,3.248252243719267,2.356178213836213,0,0,0,0,1,2.0,1
2020-06-30,3100.29,0.018388403283502663,0.0551012969754443,55.98000000000002,0.05647758488296139,0.0907095233070238,0.17143815014432626,0.9939975832867602,0.6256775402818638,2.328576393283653,0,0,0,1,0,1.0,1
2020-07-31,3271.12,0.0551012969754443,0.07006468732421922,170.82999999999993,0.019006634884405613,0.09383273744128366,0.9939975832867602,1.3292552174698944,-0.7375242796971772,2.476293279410685,0,0,0,0,1,2.0,1
2020-08-31,3500.31,0.07006468732421922,-0.0392279540954944,229.19000000000005,0.026590029291141036,0.08488322702412701,1.3292552174698944,-1.119467400997296,-0.46163863875988975,2.0530133650806692,0,0,0,0,1,2.0,1
2020-09-30,3363.0,-0.0392279540954944,-0.0276657746060065,-137.30999999999995,0.05925480589065061,0.05518042758764966,-1.119467400997296,-0.8604145492507779,0.7267134823199464,0.6481769198678141,0,1,0,0,0,-1.0,1
2020-10-31,3269.96,-0.0276657746060065,0.10754565805086314,-93.03999999999996,0.060041386631973184,0.045077016608359936,-0.8604145492507779,2.1690235640686137,0.755329471457471,0.17032162562107,0,1,0,0,0,-1.0,1
2020-11-30,3621.63,0.10754565805086314,0.03712140665943231,351.6700000000001,0.0816070960335351,0.05744269297288794,2.1690235640686137,0.5911546880793956,1.539894963031114,0.7551740016992076,0,0,0,0,1,2.0,1
2020-12-31,3756.07,0.03712140665943231,-0.011136640158463607,134.44000000000005,0.06762529798022761,0.057147960445455843,0.5911546880793956,-0.4900761178650143,1.0312339188466777,0.7412342046436539,0,0,0,1,0,1.0,1
2021-01-31,3714.24,-0.011136640158463607,0.026091474971999817,-41.83000000000038,0.05968514915086952,0.058594940626742205,-0.4900761178650143,0.34402695054543797,0.7423694695732383,0.8096712049512876,0,1,0,0,0,-1.0,1
2021-02-28,3811.15,0.026091474971999817,0.04243863400810777,96.91000000000031,0.02528646222742748,0.054074021627014975,0.34402695054543797,0.7102881878932757,-0.5090627097745704,0.5958478651595389,0,0,0,1,0,1.0,1
2021-03-31,3972.89,0.04243863400810777,0.05242531255584737,161.73999999999978,0.027457458509307732,0.0474265072909384,0.7102881878932757,0.9340416384965846,-0.4300813633517826,0.2814441528304345,0,0,0,1,0,1.0,1
2021-04-30,4181.17,0.05242531255584737,0.005486502581813157,208.2800000000002,0.01329432434575089,0.038741366250434055,0.9340416384965846,-0.11763141262814236,-0.9453394571314216,-0.12933203315189998,0,0,0,0,1,2.0,1
2021-05-31,4204.11,0.005486502581813157,0.02221397632316946,22.9399999999996,0.024726657838388795,0.024041736268738376,-0.11763141262814236,0.25715084872259175,-0.529428522811048,-0.8245720886757287,0,0,0,1,0,1.0,1
2021-06-30,4297.5,0.02221397632316946,0.02274810936591054,93.39000000000033,0.0237900017392117,0.023348999278396444,0.25715084872259175,0.2691182021147375,-0.5635042881477127,-0.8573360769004975,0,0,0,1,0,1.0,1
2021-07-31,4395.26,0.02274810936591054,0.028990321391681118,97.76000000000022,0.009815436351685271,0.01658131050718991,0.2691182021147375,0.4089761612436786,-1.0719022062796624,-1.1774236112752137,0,0,0,1,0,1.0,1
2021-08-31,4522.68,0.028990321391681118,-0.047569140421166334,127.42000000000007,0.0037676111257569254,0.016536914910069252,0.4089761612436786,-1.3063532823814192,-1.2919234855698443,-1.1795233646326528,0,0,0,1,0,1.0,1
2021-09-30,4307.54,-0.047569140421166334,0.06914387330123462,-215.14000000000033,0.04251437408231417,0.03378886616397651,-1.3063532823814192,1.30862420246107,0.1176927046444718,-0.36356761863112874,1,0,0,0,0,-2.0,1
2021-10-31,4605.38,0.06914387330123462,-0.00833373141847149,297.84000000000015,0.059295287187925545,0.03801197181853811,1.30862420246107,-0.427276409303116,0.7281862012694909,-0.16382978758256017,0,0,0,0,1,2.0,1
2021-11-30,4567.0,-0.00833373141847149,0.04361287497262989,-38.38000000000011,0.059391531558066875,0.03923623399578004,-0.427276409303116,0.7365972821928065,0.7316875936960093,-0.1059265542942883,0,1,0,0,0,-1.0,1
2021-12-31,4766.18,0.04361287497262989,-0.05258508910699977,199.1800000000003,0.039482192239688386,0.04100674569421147,0.7365972821928065,-1.4187365758998027,0.007381228513384008,-0.022187667461365194,0,0,0,1,0,1.0,1
2022-01-31,4515.55,-0.05258508910699977,-0.03136052086678265,-250.6300000000001,0.048150252449832835,0.049872840752378814,-1.4187365758998027,-0.9431960487253409,0.32272726203034185,0.39714699798228503,1,0,0,0,0,-2.0,1
2022-02-28,4373.94,-0.03136052086678265,0.03577323877328009,-141.61000000000058,0.05053965550888824,0.05028236100125625,-0.9431960487253409,0.5609487277015676,0.40965429747762455,0.4165158447438848,0,1,0,0,0,-1.0,1
2022-03-31,4530.41,0.03577323877328009,-0.08795671914903935,156.47000000000025,0.04612414061745466,0.0474414413345318,0.5609487277015676,-2.2112447394034134,0.2490168453612834,0.2821504798134946,0,0,0,1,0,1.0,1
2022-04-30,4131.93,-0.08795671914903935,5.324388360872234e-05,-398.47999999999956,0.061939720469277176,0.05107092761219112,-2.2112447394034134,-0.2393646171097114,0.8243912951379578,0.45381223213957306,1,0,0,0,0,-2.0,1
2022-05-31,4132.15,5.324388360872234e-05,-0.08391999322386645,0.21999999999934516,0.06367989493734157,0.051462546451986405,-0.2393646171097114,-2.1208011198777093,0.8876992444170091,0.4723344061169104,0,0,1,0,0,0.0,1
2022-06-30,3785.38,-0.08391999322386645,0.09111634763220589,-346.7699999999995,0.04968828382947579,0.048458207640581216,-2.1208011198777093,1.8009217092192342,0.3786811990400778,0.33023989865960157,1,0,0,0,0,-2.0,1
2022-07-31,4130.29,0.09111634763220589,-0.04244011921681046,344.90999999999985,0.08754209847736036,0.06982006718415897,1.8009217092192342,-1.1914365773722324,1.7558117234365611,1.3405796441948845,0,0,0,0,1,2.0,1
2022-08-31,3955.0,-0.04244011921681046,-0.09339570164348932,-175.28999999999996,0.09146550388453996,0.07055446169849401,-1.1914365773722324,-2.3331061866390037,1.8985461187958723,1.3753138846865485,0,1,0,0,0,-1.0,1
